prop_ids,urls,cities,lines,postal_codes,counties,lats,lons,prices,baths_fulls,bedrooms,building_sizes,lot_sizes
M7154594573,https://www.realtor.com/realestateandhomes-detail/6016-Penn-Ave-S_Minneapolis_MN_55419_M71545-94573,Minneapolis,6016/6018 Penn Ave S,55419,Hennepin,44.893659,-93.309036,317500,2,4,2056,5532
M8373881276,https://www.realtor.com/realestateandhomes-detail/4318-Zane-Ave-N_Crystal_MN_55422_M83738-81276,Crystal,4318 Zane Ave N,55422,Hennepin,45.034173,-93.354456,335900,2,4,2184,10019
M7709999180,https://www.realtor.com/realestateandhomes-detail/192-Robie-St-W_Saint-Paul_MN_55107_M77099-99180,Saint Paul,192 Robie St W,55107,Ramsey,44.930258,-93.093577,339900,2,5,2813,6534
M7636067402,https://www.realtor.com/realestateandhomes-detail/4808-Normandale-Highlands-Dr_Bloomington_MN_55437_M76360-67402,Bloomington,4808 Normandale Highlands Dr,55437,Hennepin,44.820497,-93.342973,349900,2,3,1897,12197
M8315212088,https://www.realtor.com/realestateandhomes-detail/4-Circle-W_Edina_MN_55436_M83152-12088,Edina,4 Circle W,55436,Hennepin,44.916519,-93.364067,1900000,6,6,8251,31363
M7541768640,https://www.realtor.com/realestateandhomes-detail/7263-Sunnyslope-Dr_Maple-Grove_MN_55311_M75417-68640,Maple Grove,7263 Sunnyslope Dr,55311,Hennepin,45.086845,-93.452066,339900,2,3,1877,13939
M8625364451,https://www.realtor.com/realestateandhomes-detail/10409-Nesbitt-Ave-S_Bloomington_MN_55437_M86253-64451,Bloomington,10409 Nesbitt Ave S,55437,Hennepin,44.814167,-93.357932,425000,2,4,2328,16553
M7493945246,https://www.realtor.com/realestateandhomes-detail/9206-Russell-Ave-S_Bloomington_MN_55431_M74939-45246,Bloomington,9206 Russell Ave S,55431,Hennepin,44.836789,-93.31181,489900,3,4,2587,13939
M8582105173,https://www.realtor.com/realestateandhomes-detail/521-Oak-St_Farmington_MN_55024_M85821-05173,Farmington,521 Oak St,55024,Dakota,44.639488,-93.140461,415000,3,5,3344,15246
M7479451241,https://www.realtor.com/realestateandhomes-detail/315-Natchez-Ave-S_Golden-Valley_MN_55416_M74794-51241,Golden Valley,315 Natchez Ave S,55416,Hennepin,44.975183,-93.338486,775000,3,2,2400,28750
M7037397556,https://www.realtor.com/realestateandhomes-detail/3626-22nd-Ave-S_Minneapolis_MN_55407_M70373-97556,Minneapolis,3626 22nd Ave S,55407,Hennepin,44.936687,-93.241002,415000,3,3,2882,5227
M8569896281,https://www.realtor.com/realestateandhomes-detail/2689-8th-Ave-E_Maplewood_MN_55109_M85698-96281,North Saint Paul,2689 8th Ave E,55109,Ramsey,45.013291,-92.986884,312000,2,3,1702,8364
M7736245929,https://www.realtor.com/realestateandhomes-detail/1594-Thomas-Ave_Saint-Paul_MN_55104_M77362-45929,Saint Paul,1594 Thomas Ave,55104,Ramsey,44.959009,-93.167849,429900,2,4,2688,4792
M8404361119,https://www.realtor.com/realestateandhomes-detail/1719-Marshall-St-NE_Minneapolis_MN_55413_M84043-61119,Minneapolis,1719 Marshall St NE,55413,Hennepin,45.005561,-93.271145,449000,2,7,2112,8276
M7873412967,https://www.realtor.com/realestateandhomes-detail/8743-Penn-Ave-S_Bloomington_MN_55431_M78734-12967,Bloomington,8743 Penn Ave S,55431,Hennepin,44.844532,-93.307953,400000,,6,2594,39204
M7159145543,https://www.realtor.com/realestateandhomes-detail/2821-1st-Ave-S_Minneapolis_MN_55408_M71591-45543,Minneapolis,2821 1st Ave S,55408,Hennepin,44.951161,-93.276254,379000,2,5,2250,3920
M7554555933,https://www.realtor.com/realestateandhomes-detail/5525-Zenith-Ave-S_Minneapolis_MN_55410_M75545-55933,Edina,5525 Zenith Ave S,55410,Hennepin,44.902455,-93.320993,875000,3,3,2400,8276
M8648754867,https://www.realtor.com/realestateandhomes-detail/7914-Lea-Rd_Bloomington_MN_55438_M86487-54867,Bloomington,7914 Lea Rd,55438,Hennepin,44.85921,-93.378421,549900,3,4,2182,18731
M8495826109,https://www.realtor.com/realestateandhomes-detail/3240-5th-Ave-S_Minneapolis_MN_55408_M84958-26109,Minneapolis,3240 5th Ave S,55408,Hennepin,44.943568,-93.269335,699900,3,,2400,5663
M7820115149,https://www.realtor.com/realestateandhomes-detail/8825-Penn-Lake-Cir_Bloomington_MN_55431_M78201-15149,Bloomington,8825 Penn Lake Cir,55431,Hennepin,44.843431,-93.306631,429000,,3,2200,10890
M8145996706,https://www.realtor.com/realestateandhomes-detail/1358-Kohlman-Ave_Maplewood_MN_55109_M81459-96706,Maplewood,1358 Kohlman Ave,55109,Ramsey,45.022212,-93.043225,400000,2,4,2578,23261
M8152976290,https://www.realtor.com/realestateandhomes-detail/916-Chippewa-Ave_Mendota-Heights_MN_55118_M81529-76290,Mendota Heights,916 Chippewa Ave,55118,Dakota,44.9191,-93.106598,449000,3,4,2173,12197
